time,low,high,open,close,volume
1461456000,454.6,464.95,455.68,464.48,1842.41047079
1461542400,456.0,472.16,464.47,466.17,2221.27044308
1461628800,464.01,472.1,466.17,470.32,1539.21705431
1461715200,442.5,470.79,470.3,445.3,2466.17081712
1461801600,435.5,451.88,445.3,451.68,2238.07428077
1461888000,448.61,459.42,451.67,458.75,1338.98689792
1461974400,450.13,459.29,458.8,454.17,885.74998525
1462060800,452.7,457.03,454.02,456.98,564.49149368
1462147200,440.11,457.6,456.98,446.5,1473.57877806
1462233600,443.85,453.0,446.53,452.22,1217.39950015
1462320000,446.83,452.64,452.21,448.62,1125.30213255
1462406400,447.0,451.55,448.59,449.95,1341.42484199
1462492800,448.85,463.49,449.99,462.31,1611.01042813
1462579200,459.56,464.0,462.31,461.87,769.508562
1462665600,457.5,463.49,461.91,462.56,693.52216909
1462752000,459.63,465.0,462.6,464.13,1210.95171319
1462838400,448.47,464.99,464.15,452.78,1619.88432952
1462924800,452.74,458.53,452.77,454.65,1328.81617155
1463011200,449.33,456.49,454.56,456.48,947.35008164
1463097600,454.0,458.0,456.48,457.97,1114.75498355
1463184000,456.24,459.74,457.97,458.9,687.52924141
1463270400,458.52,463.51,458.9,461.47,849.9904651
1463356800,452.02,461.5,461.48,455.66,1330.13707585
1463443200,453.0,457.3,455.64,454.19,936.90234036
1463529600,453.61,457.55,454.19,455.56,809.58486413
1463616000,435.55,456.39,455.56,438.38,1455.39192515
1463702400,436.25,445.61,437.91,445.53,837.40432511
1463788800,441.89,446.79,445.52,446.23,568.33305239
1463875200,441.01,446.43,446.27,442.32,607.44312927
1463961600,441.94,445.99,442.45,445.65,948.05840729
1464048000,443.8,448.49,445.56,446.99,875.52709982
1464134400,446.86,452.41,446.98,451.37,628.14179218
1464220800,449.33,454.99,451.45,454.97,736.67033239
1464307200,454.61,476.75,454.97,471.27,1665.97194953
1464393600,470.56,539.48,471.21,523.25,2557.41825623
1464480000,503.39,549.99,523.35,525.22,1731.0247061
1464566400,520.01,540.0,525.22,532.55,852.75104649
1464652800,520.21,544.9,532.56,531.53,1427.86066897
1464739200,525.38,541.44,531.25,534.45,1030.6421456
1464825600,532.22,540.99,534.85,537.94,754.55941466
1464912000,536.56,578.0,538.06,571.25,2600.11908205
1464998400,564.9,594.64,571.09,576.31,1417.70188491
1465084800,572.01,584.99,576.31,575.17,1008.65734489
1465171200,575.08,587.98,575.17,586.8,1321.17291193
1465257600,485.55,590.95,586.75,579.71,2109.42175349
1465344000,573.26,583.99,579.72,583.2,1113.49249527
1465430400,574.0,583.47,583.19,577.46,1093.21270188
1465516800,574.29,580.99,577.47,580.24,1068.55594738
1465603200,580.31,609.98,580.31,609.5,1232.8047982
1465689600,605.0,686.54,609.5,677.85,4694.16600071
1465776000,664.39,719.99,677.45,706.01,3600.93346767
1465862400,656.02,706.44,706.02,684.95,3242.50372349
1465948800,673.0,698.78,684.99,698.78,2112.89317554
1466035200,698.76,777.68,698.76,769.76,4400.66213477
1466121600,709.67,778.5,769.71,752.26,4061.27668817
1466208000,734.8,784.85,752.0,758.99,2579.83848473
1466294400,744.85,771.69,759.0,768.76,1521.73142944
1466380800,705.22,768.94,768.94,706.94,2406.10926822
1466467200,630.04,718.26,706.47,668.02,5933.34558227
1466553600,579.44,679.99,667.88,604.51,4134.54759737
1466640000,544.73,636.53,606.13,631.1,6382.11012784
1466726400,631.1,700.0,631.1,669.93,5427.38982217
1466812800,650.4,699.0,669.98,673.71,2457.32922202
1466899200,625.06,674.01,673.71,638.56,1883.96605222
1466985600,630.0,659.97,638.56,657.87,2134.05523017
1467072000,639.0,663.49,657.86,648.43,2128.33136374
1467158400,630.03,648.43,648.43,639.42,1972.97597847
1467244800,635.14,674.63,639.41,673.49,2437.97440268
1467331200,667.66,688.87,673.5,678.18,2259.13108604
1467417600,677.09,705.03,678.09,704.95,1501.41489023
1467504000,651.9,705.25,705.25,663.55,2115.90289073
1467590400,653.18,683.67,664.09,681.98,1556.06177658
1467676800,662.83,682.36,681.98,669.85,1639.58217249
1467763200,666.23,680.78,669.75,678.79,1589.21162575
1467849600,611.94,683.37,678.79,641.96,3724.89638204
1467936000,638.35,667.3,641.97,667.3,1781.26886218
1468022400,624.49,667.1,667.07,657.61,1713.16939081
1468108800,641.69,657.61,657.6,652.44,931.47709586
1468195200,648.42,663.53,652.43,651.2,910.8463996
1468281600,648.71,675.39,651.25,665.55,1975.06415888
1468368000,655.14,671.13,666.25,655.15,3721.45968498
1468454400,651.53,663.99,655.3,661.49,1279.78581123
1468540800,660.95,669.89,661.4,667.48,1488.03045568
1468627200,662.01,669.99,667.48,666.32,898.31395469
1468713600,666.05,680.99,666.3,680.0,1581.44894582
1468800000,670.0,684.94,680.0,675.5,1748.54052378
1468886400,666.69,676.6,675.51,673.98,1072.59335207
1468972800,664.6,674.98,673.98,667.1,1029.58791891
1469059200,661.25,668.37,667.15,667.28,1582.69491645
1469145600,648.12,669.94,667.27,654.67,2480.37429666
1469232000,654.06,662.34,654.7,657.66,1536.32617414
1469318400,655.03,666.37,657.68,660.92,1202.01568963
1469404800,653.79,664.13,660.92,657.79,1571.49506729
1469491200,645.79,658.99,657.99,654.06,2375.81643291
1469577600,646.98,658.99,654.06,657.0,1681.89000628
1469664000,654.88,659.97,657.0,657.4,1227.83632992
1469750400,652.6,659.0,657.4,657.0,1429.09950562
1469836800,653.23,658.97,657.18,655.87,1051.60303885
1469923200,621.53,657.0,655.95,626.93,1915.87782717
1470009600,599.51,628.14,626.97,604.37,2507.97968926
1470096000,483.17,613.19,604.87,537.47,3655.14952996
1470182400,521.55,576.0,538.8,573.36,5310.55958303
1470268800,563.07,599.95,573.35,587.01,1753.67118648
1470355200,571.5,592.5,587.5,583.0,1453.84515729
1470441600,574.5,591.72,583.0,591.71,1218.80021518
1470528000,587.2,598.65,591.7,595.14,1215.11308477
1470614400,590.01,595.99,595.14,591.48,1180.85163221
1470700800,585.96,594.01,591.58,586.68,1600.05785216
1470787200,583.45,600.98,586.75,594.94,1705.98976413
1470873600,586.06,599.99,594.94,587.91,1740.2018875
1470960000,583.75,590.04,587.9,587.51,1188.5347392
1471046400,586.0,589.5,587.68,586.45,1109.85019711
1471132800,565.21,586.49,586.45,574.99,1444.89116958
1471219200,561.84,574.97,574.97,567.76,1559.29177844
1471305600,566.1,581.99,567.85,579.02,1805.15642803
1471392000,569.76,581.98,579.02,574.45,1223.52376216
1471478400,573.41,576.86,574.45,574.09,1341.54575149
1471564800,572.72,576.99,574.05,573.68,1328.66717199
1471651200,572.93,583.91,573.68,581.73,1387.64293443
1471737600,579.6,583.99,581.72,581.29,837.35132836
1471824000,579.71,586.82,581.34,585.2,1278.986415
1471910400,578.07,586.51,585.19,582.39,1231.83374575
1471996800,576.66,582.68,582.39,578.47,1116.76426669
1472083200,573.33,578.89,578.68,575.58,1536.83810993
1472169600,575.1,579.64,575.57,579.25,1345.25998053
1472256000,568.98,579.45,579.29,570.84,1198.52415907
1472342400,569.88,575.41,570.83,575.35,1190.45767475
1472428800,571.56,577.56,575.41,573.21,1177.13171945
1472515200,572.61,576.79,573.21,574.95,1375.7041347
